datetime	compile status	error msg	debug
2021-06-03 01:35:02.498073	256	"gcc: error: unrecognized command line option ‘-sa’; did you mean ‘-s’?
"	True
2021-06-03 01:35:25.220787	0	none	True
2021-06-03 02:31:40.065391	0	none	False
2021-06-03 02:32:17.073940	0	none	False
2021-06-03 02:33:40.289924	0	none	False
2021-06-03 02:48:04.120972	0	none	False
2021-06-03 02:48:48.615749	0	none	False
2021-06-03 02:49:42.175342	0	none	False
2021-06-03 02:54:04.190163	0	none	False
2021-06-03 02:55:43.808434	0	none	False
2021-06-03 02:56:12.780382	0	none	False
2021-06-03 02:57:01.742095	0	none	False
2021-06-03 03:01:23.419204	0	none	False
2021-06-03 03:01:30.753860	0	none	False
2021-06-03 03:01:32.357420	0	none	False
2021-06-03 03:01:34.843017	0	none	False
2021-06-03 03:01:38.316276	0	none	False
2021-06-03 03:01:42.242083	0	none	False
2021-06-03 03:01:44.841708	0	none	False
2021-06-03 03:01:51.659363	0	none	False
2021-06-03 03:01:53.927873	0	none	False
2021-06-03 03:01:56.045386	0	none	False
2021-06-03 03:02:50.149825	0	none	False
2021-06-03 03:06:21.176394	0	none	False
2021-06-03 03:06:40.764882	0	none	False
2021-06-03 03:06:50.596061	0	none	False
2021-06-03 03:07:26.529496	0	none	False
2021-06-03 03:07:42.602409	0	none	False
2021-06-03 03:10:30.343166	0	none	False
2021-06-03 03:11:02.642288	0	none	False
2021-06-03 03:11:54.479266	0	none	False
2021-06-03 03:12:03.039561	0	none	False
2021-06-03 03:13:31.708378	0	none	False
2021-06-03 03:13:54.279932	0	none	False
